,Unnamed: 0,latitude,longitude,property_type,room_type,beds,accommodates,price,number_of_reviews,review_scores_rating,host_is_superhost,host_listings_count,host_total_listings_count
12593,16736,40.78688,-73.94958,Entire rental unit,Entire home/apt,2.0,3,96.0,1,5.0,False,1.0,2.0
12594,16738,40.8562,-73.93319,Entire rental unit,Entire home/apt,1.0,2,90.0,7,5.0,False,1.0,2.0
12595,16739,40.72766,-74.00243,Entire rental unit,Entire home/apt,2.0,4,350.0,21,5.0,True,2.0,2.0
12596,16742,40.72356,-73.98226,Entire rental unit,Entire home/apt,2.0,3,106.0,2,3.0,False,1.0,2.0
12597,16743,40.698806,-73.832567,Entire rental unit,Entire home/apt,2.0,4,131.0,42,4.74,False,1.0,1.0
12598,16744,40.65027,-73.96445,Private room in rental unit,Private room,1.0,2,70.0,39,5.0,False,1.0,1.0
12599,16745,40.75161,-73.89946,Entire home,Entire home/apt,2.0,4,161.0,47,4.94,False,1.0,2.0
12600,16746,40.74334,-73.98401,Entire rental unit,Entire home/apt,1.0,5,199.0,4,3.75,False,6.0,7.0
12601,16747,40.74186,-73.98304,Entire rental unit,Entire home/apt,2.0,5,499.0,9,4.0,False,6.0,7.0
12602,16748,40.74153,-73.98366,Entire rental unit,Entire home/apt,1.0,4,299.0,1,4.0,False,6.0,7.0
12603,16749,40.74138,-73.9835,Entire rental unit,Entire home/apt,2.0,3,400.0,15,4.29,False,6.0,7.0
12604,16752,40.68025,-73.9187,Private room in rental unit,Private room,1.0,1,107.0,17,4.94,False,1.0,4.0
12605,16753,40.68438,-73.98465,Entire rental unit,Entire home/apt,1.0,2,85.0,16,4.87,False,1.0,2.0
12606,16756,40.6741,-73.96838,Private room in rental unit,Private room,1.0,2,65.0,154,4.92,True,1.0,1.0
12607,16757,40.70662,-74.01279,Entire rental unit,Entire home/apt,1.0,2,200.0,3,4.67,False,1.0,1.0
12608,16758,40.73661,-74.00945,Entire rental unit,Entire home/apt,2.0,3,249.0,21,5.0,False,1.0,2.0
12609,16760,40.6872,-73.93213,Entire rental unit,Entire home/apt,1.0,2,95.0,4,4.75,False,1.0,4.0
12610,16761,40.8567635,-73.927002,Private room in rental unit,Private room,1.0,2,57.0,43,4.77,True,1.0,2.0
12611,16762,40.685118901313935,-73.9351762654242,Private room in rental unit,Private room,1.0,1,52.0,1,5.0,False,2.0,2.0
12612,16763,40.68297948172337,-73.9357326258675,Private room in rental unit,Private room,1.0,1,65.0,1,5.0,False,2.0,2.0
12613,16765,40.80101,-73.95872,Entire rental unit,Entire home/apt,1.0,3,100.0,3,5.0,False,1.0,1.0
12614,16766,40.72004,-73.95614,Entire rental unit,Entire home/apt,1.0,2,150.0,4,5.0,False,1.0,1.0
12615,16767,40.7446,-73.94942,Entire rental unit,Entire home/apt,1.0,3,212.0,6,5.0,False,4.0,4.0
12616,16768,40.77728,-73.90633,Entire guest suite,Entire home/apt,2.0,2,239.0,67,4.99,True,1.0,1.0
12617,16769,40.80279,-73.94605,Entire rental unit,Entire home/apt,3.0,4,175.0,331,4.97,True,1.0,1.0
12618,16770,40.70396,-73.92263,Private room in rental unit,Private room,1.0,2,135.0,2,5.0,False,1.0,1.0
12619,16771,40.72373,-73.9963,Entire rental unit,Entire home/apt,2.0,4,420.0,1,5.0,False,1.0,1.0
12620,16772,40.72158,-73.98773,Entire rental unit,Entire home/apt,1.0,2,75.0,3,5.0,False,1.0,1.0
12627,16779,40.77516004420554,-73.95361176259918,Entire rental unit,Entire home/apt,1.0,2,177.0,2,5.0,False,1.0,1.0
12628,16780,40.66,-73.96154,Entire rental unit,Entire home/apt,1.0,2,130.0,1,5.0,False,1.0,1.0
12629,16781,40.70399,-73.91296,Private room in rental unit,Private room,1.0,2,60.0,6,4.83,False,1.0,1.0
12630,16782,40.67319643968358,-73.88539181858839,Entire home,Entire home/apt,3.0,5,115.0,5,5.0,False,1.0,1.0
12631,16783,40.67373,-73.75516,Entire guest suite,Entire home/apt,3.0,6,170.0,60,4.75,False,1.0,2.0
12632,16784,40.54046,-74.14322,Entire townhouse,Entire home/apt,3.0,6,229.0,3,0.0,False,1.0,2.0
12633,16785,40.73686,-74.0082,Entire rental unit,Entire home/apt,1.0,2,95.0,4,5.0,False,1.0,6.0
12634,16786,40.71117628705987,-73.96643680496146,Entire rental unit,Entire home/apt,4.0,8,907.0,71,4.87,True,1.0,2.0
12635,16787,40.67656,-73.99932,Entire rental unit,Entire home/apt,2.0,2,79.0,1,4.0,False,1.0,1.0
12636,16788,40.7646657,-73.882025,Entire townhouse,Entire home/apt,2.0,3,171.0,29,4.66,True,1.0,1.0
12637,16789,40.75597780640744,-73.92775293907665,Entire rental unit,Entire home/apt,1.0,4,129.0,30,4.7,True,1.0,1.0
12638,16790,40.72483,-73.98865,Entire loft,Entire home/apt,4.0,7,650.0,205,4.66,False,1.0,2.0
12639,16791,40.65144305928975,-73.96218679587459,Private room in rental unit,Private room,1.0,2,55.0,4,5.0,False,2.0,3.0
12640,16792,40.65156,-73.96061,Entire rental unit,Entire home/apt,2.0,3,80.0,3,5.0,False,2.0,3.0
12641,16795,40.78968,-73.9773,Entire rental unit,Entire home/apt,2.0,2,300.0,23,4.91,False,1.0,8.0
12643,16798,40.75552,-73.99581,Entire rental unit,Entire home/apt,1.0,2,225.0,5,5.0,False,1.0,3.0
12644,16799,40.68529,-73.92138,Private room in rental unit,Private room,1.0,1,40.0,4,4.67,False,1.0,1.0
12645,16800,40.81282,-73.94004,Private room in rental unit,Private room,2.0,3,145.0,9,3.43,False,1.0,1.0
12646,16801,40.7191,-73.9546,Entire rental unit,Entire home/apt,1.0,3,99.0,6,4.83,False,1.0,1.0
12647,16802,40.69042,-73.93939,Private room in rental unit,Private room,1.0,2,63.0,31,4.94,False,1.0,1.0
12648,16803,40.67148,-73.92505,Private room in rental unit,Private room,1.0,2,106.0,16,4.56,False,2.0,5.0
